date,Hour,count_client_ip,no_get,no_post,no_head
2019-01-23,4,3123,1116,957,1050
2019-01-23,18,232,56,87,89
2019-01-23,8,2053,723,495,835
2019-01-22,17,2932,1139,847,946
2019-01-23,14,703,183,207,313
2019-01-23,21,31,14,8,9
2019-01-23,7,2314,927,622,765
2019-01-22,5,2950,1113,895,942
2019-01-23,23,42,21,10,11
2019-01-23,9,2085,785,602,698
2019-01-23,11,1426,479,636,311
2019-01-22,9,2661,878,840,943
2019-01-22,4,3116,1046,1038,1032
2019-01-22,15,3318,1028,1303,987
2019-01-23,5,2565,1009,808,748
2019-01-22,19,3029,911,1097,1021
2019-01-23,6,2815,849,962,1004
2019-01-22,11,3337,1098,938,1301
2019-01-22,22,3026,998,1077,951
2019-01-23,22,33,16,8,9
2019-01-23,15,665,143,201,321
2019-01-23,1,3094,1067,1080,947
2019-01-24,0,28,15,3,10
2019-01-22,12,2783,1001,897,885
2019-01-22,20,2976,1050,1037,889
2019-01-23,2,3093,1059,1103,931
2019-01-22,3,3103,2965,96,42
2019-01-23,3,3262,1189,988,1085
2019-01-22,6,3265,1163,948,1154
2019-01-23,20,114,69,26,19
2019-01-22,13,3275,995,1284,996
2019-01-23,16,539,193,155,191
2019-01-24,2,37,37,0,0
2019-01-23,0,3087,1115,1071,901
2019-01-23,12,1174,392,256,526
2019-01-23,17,348,174,107,67
2019-01-22,14,3059,1106,1062,891
2019-01-23,10,1494,347,638,509
2019-01-22,7,3412,1088,1027,1297
2019-01-24,1,33,0,33,0
2019-01-23,19,188,45,86,57
2019-01-22,18,3082,929,1095,1058
2019-01-22,21,3139,977,1196,966
2019-01-22,23,3160,1104,1100,956
2019-01-22,16,3098,993,1024,1081
2019-01-22,10,2816,976,934,906
2019-01-23,13,1024,268,356,400
2019-01-22,8,3061,1087,1059,915
